model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Astra,2019.0,18695.0,Manual,,Petrol,145.0,46.3,,vauxhall
 Tucson,2016.0,13298.0,Manual,,Diesel,30.0,61.7,1.7,hyundi
 Yaris,2016.0,11295.0,Automatic,34465.0,Hybrid,,78.0,1.5,toyota
 Tucson,,18895.0,Semi-Auto,4367.0,Petrol,150.0,36.2,1.6,hyundi
 Q3,2017.0,22995.0,Semi-Auto,17680.0,Petrol,145.0,42.2,2.0,Audi
 Q3,2016.0,18300.0,Manual,,Diesel,150.0,,2.0,Audi
 A3,,,Semi-Auto,22604.0,Petrol,145.0,56.5,1.5,Audi
 Superb,2018.0,20990.0,Semi-Auto,5808.0,Petrol,150.0,,2.0,skoda
 A3,,,Manual,4533.0,Petrol,150.0,42.2,1.5,Audi
 Golf,2019.0,19990.0,Manual,2306.0,Petrol,,50.4,1.5,volkswagen
 3 Series,2016.0,16000.0,Automatic,51440.0,Diesel,165.0,49.6,,BMW
 Astra,2019.0,15095.0,Semi-Auto,1043.0,Petrol,145.0,,,vauxhall
 Fiesta,,,Manual,64406.0,Diesel,0.0,76.4,1.5,ford
 Octavia,2016.0,10490.0,Manual,,Petrol,30.0,55.4,,skoda
 A1,2019.0,,Manual,13059.0,Petrol,,50.4,1.0,Audi
 Octavia,2013.0,7295.0,Manual,50657.0,Petrol,125.0,53.3,1.4,skoda
 A4,,9399.0,Manual,77500.0,Diesel,205.0,46.3,2.0,Audi
 Tucson,2017.0,17490.0,Manual,26111.0,Diesel,145.0,54.3,2.0,hyundi
 EcoSport,2017.0,9900.0,Manual,10249.0,Petrol,125.0,53.3,1.0,ford
 Up,2016.0,5495.0,Manual,11000.0,Petrol,20.0,62.8,1.0,volkswagen
 Mokka,2015.0,8495.0,Manual,41396.0,Diesel,30.0,,1.6,vauxhall
 Astra,2016.0,7982.0,Manual,41498.0,Diesel,0.0,85.6,1.6,vauxhall
 Q3,2020.0,37888.0,Semi-Auto,2553.0,Petrol,145.0,,2.0,Audi
 Fiesta,2017.0,8599.0,Manual,30925.0,Petrol,0.0,65.7,1.0,ford
 Insignia,2013.0,,Manual,65913.0,Diesel,30.0,65.7,2.0,vauxhall
 X1,2017.0,17998.0,Semi-Auto,,Diesel,150.0,55.4,2.0,BMW
 Polo,2017.0,11490.0,Manual,11887.0,Petrol,20.0,60.1,,volkswagen
 A Class,2016.0,14490.0,Manual,33626.0,Petrol,145.0,,1.6,merc
 Kuga,2017.0,15998.0,Semi-Auto,46886.0,Diesel,150.0,,2.0,ford
 Focus,2014.0,7499.0,Manual,,Petrol,30.0,56.5,1.0,ford
 Aygo,2019.0,10495.0,Manual,3500.0,Petrol,145.0,56.5,,toyota
 2 Series,2020.0,28995.0,Semi-Auto,1501.0,Diesel,145.0,49.6,2.0,BMW
 Kuga,2018.0,15498.0,Manual,21602.0,Diesel,145.0,64.2,1.5,ford
 Octavia,2018.0,14000.0,Automatic,9943.0,Petrol,145.0,56.5,,skoda
 C Class,2019.0,27998.0,Automatic,5144.0,Diesel,145.0,56.5,,merc
 Fiesta,2014.0,8495.0,Manual,25177.0,Petrol,0.0,65.7,,ford
 3 Series,,22382.0,Semi-Auto,,Diesel,,55.4,2.0,BMW
 Astra,2017.0,11000.0,Manual,30594.0,Petrol,125.0,51.4,1.4,vauxhall
 Astra,2016.0,9750.0,Manual,17787.0,Petrol,,51.4,,vauxhall
 Corsa,,12750.0,Automatic,4000.0,Petrol,145.0,39.8,1.4,vauxhall
 A5,2017.0,24950.0,Automatic,15000.0,Diesel,150.0,62.8,2.0,Audi
 EcoSport,2016.0,8998.0,Manual,30557.0,Petrol,,,1.0,ford
 Fiesta,2016.0,7999.0,Manual,31348.0,Petrol,125.0,54.3,1.2,ford
 C Class,2013.0,9995.0,Automatic,44900.0,Petrol,,46.3,1.6,merc
 Aygo,2019.0,9990.0,Manual,2863.0,Petrol,150.0,56.5,,toyota
 Focus,2018.0,,Manual,,Petrol,145.0,57.7,1.0,ford
 5 Series,2008.0,,Automatic,65000.0,Diesel,160.0,50.4,2.0,BMW
 Astra,2019.0,13800.0,Manual,6894.0,Petrol,145.0,47.9,1.4,vauxhall
 Focus,2017.0,10995.0,Manual,,Petrol,,60.1,1.0,ford
 GLC Class,2017.0,29480.0,Semi-Auto,27552.0,Diesel,145.0,56.5,2.1,merc
 E Class,2015.0,16499.0,Semi-Auto,,Diesel,160.0,51.4,2.1,merc
 1 Series,2015.0,11200.0,Automatic,48282.0,Diesel,20.0,70.6,2.0,BMW
 A5,2020.0,30995.0,Semi-Auto,3820.0,Diesel,145.0,45.6,2.0,Audi
 Astra,2018.0,10791.0,Manual,23923.0,Petrol,150.0,51.4,,vauxhall
 Fiesta,2019.0,12290.0,Manual,1720.0,Petrol,145.0,58.9,1.0,ford
 Fiesta,2018.0,12500.0,Manual,,Petrol,145.0,,1.0,ford
 Tiguan,2017.0,22995.0,Manual,27000.0,Diesel,150.0,50.4,2.0,volkswagen
 Passat,2017.0,16340.0,Automatic,6000.0,Diesel,140.0,61.4,2.0,volkswagen
 Fiesta,2016.0,9749.0,Manual,16283.0,Petrol,0.0,65.7,1.0,ford
 Focus,2018.0,18760.0,Manual,12935.0,Petrol,145.0,41.5,,ford
 EcoSport,2018.0,14650.0,Manual,8200.0,Petrol,145.0,51.4,1.0,ford
 Golf,2017.0,15690.0,Manual,23198.0,Petrol,,55.4,,volkswagen
 GLA Class,2018.0,25480.0,Semi-Auto,,Diesel,145.0,56.5,2.1,merc
 Fabia,2019.0,12695.0,Semi-Auto,12015.0,Petrol,145.0,60.1,1.0,skoda
 Q2,,17202.0,Manual,52236.0,Petrol,125.0,50.4,1.4,Audi
 Yaris,2017.0,15295.0,Automatic,16523.0,Hybrid,0.0,78.0,,toyota
 Golf,2019.0,29950.0,Semi-Auto,,Petrol,145.0,37.7,2.0,volkswagen
 Yaris,2019.0,13690.0,Automatic,3180.0,Petrol,145.0,47.9,1.5,toyota
 A3,2019.0,22000.0,Automatic,9057.0,Diesel,145.0,53.3,1.6,Audi
 Fiesta,2018.0,11695.0,Manual,12487.0,Petrol,145.0,65.7,1.0,ford
 A1,2017.0,,Manual,,Petrol,145.0,56.5,1.4,Audi
 3 Series,2018.0,19000.0,Automatic,20681.0,Diesel,145.0,64.2,2.0,BMW
 3 Series,,36531.0,Semi-Auto,,Petrol,145.0,40.4,2.0,BMW
 Kuga,2017.0,14770.0,Manual,19277.0,Petrol,160.0,45.6,1.5,ford
 C Class,2017.0,24880.0,Automatic,14843.0,Diesel,145.0,54.3,2.1,merc
 C Class,2019.0,48491.0,Automatic,11347.0,Petrol,145.0,30.4,3.0,merc
 Polo,,8690.0,Manual,33405.0,Petrol,20.0,60.1,1.2,volkswagen
 Mokka X,2017.0,11595.0,Manual,,Petrol,145.0,47.1,1.4,vauxhall
 I10,2017.0,6498.0,Manual,26222.0,Petrol,145.0,60.1,,hyundi
 Tucson,2017.0,13698.0,Manual,6741.0,Petrol,,44.8,1.6,hyundi
 Mokka X,2017.0,11995.0,Semi-Auto,28531.0,Petrol,160.0,43.5,1.4,vauxhall
 Fabia,2018.0,8999.0,Manual,12000.0,Petrol,150.0,57.7,1.0,skoda
 C Class,2019.0,,Semi-Auto,15207.0,Petrol,145.0,46.3,1.5,merc
 Q2,,25491.0,Automatic,7778.0,Petrol,,40.9,1.5,Audi
 A1,2015.0,12000.0,Manual,35441.0,Diesel,,80.7,1.6,Audi
 Fabia,2019.0,14995.0,Manual,1000.0,Petrol,145.0,61.4,,skoda
 Mokka X,,13995.0,Semi-Auto,21000.0,Petrol,150.0,43.5,1.4,vauxhall
 Corsa,2017.0,7991.0,Manual,21266.0,Petrol,,54.3,1.4,vauxhall
 5 Series,2017.0,29995.0,Semi-Auto,36107.0,Diesel,145.0,,,BMW
 C Class,2019.0,34255.0,Semi-Auto,2088.0,Petrol,145.0,44.1,2.0,merc
 Fiesta,2018.0,11500.0,Manual,11000.0,Petrol,145.0,65.7,1.0,ford
 Astra,2017.0,10998.0,Semi-Auto,12345.0,Petrol,150.0,50.4,1.4,vauxhall
 E Class,2017.0,21199.0,Semi-Auto,29128.0,Diesel,145.0,67.3,2.0,merc
 Golf,2016.0,15399.0,Manual,43887.0,Petrol,145.0,47.1,2.0,volkswagen
 Aygo,,8998.0,Manual,,Petrol,,68.9,1.0,toyota
 Focus,2018.0,13990.0,Manual,9470.0,Petrol,145.0,58.9,1.0,ford
 A Class,2017.0,,Semi-Auto,,Petrol,145.0,52.3,1.6,merc
 Superb,2017.0,14499.0,Automatic,18391.0,Petrol,145.0,,1.4,skoda
 Tiguan,2019.0,21492.0,Manual,7987.0,Diesel,145.0,,2.0,volkswagen
 3 Series,2014.0,10230.0,Automatic,98381.0,Diesel,,,2.0,BMW
 Tucson,2019.0,17499.0,Manual,3500.0,Petrol,145.0,34.9,1.6,hyundi
 I10,,8295.0,Manual,31000.0,Petrol,145.0,60.1,1.0,hyundi
 Tiguan,2017.0,21298.0,Manual,39035.0,Diesel,145.0,58.9,,volkswagen
 C Class,2016.0,15339.0,Automatic,67267.0,Hybrid,0.0,134.5,2.0,merc
 A5,2014.0,14000.0,Automatic,47600.0,Diesel,145.0,56.5,2.0,Audi
 I10,2017.0,,Manual,8438.0,Petrol,150.0,60.1,1.0,hyundi
 4 Series,2017.0,20489.0,Automatic,14393.0,Petrol,145.0,48.7,2.0,BMW
 Fiesta,,6999.0,Manual,40793.0,Petrol,0.0,65.7,1.0,ford
 Tucson,2018.0,14250.0,Manual,15844.0,Petrol,145.0,44.8,1.6,hyundi
 Kuga,2018.0,18700.0,Manual,3255.0,Petrol,,,,ford
 GLC Class,2019.0,34965.0,Automatic,7801.0,Diesel,145.0,44.8,,merc
 GLC Class,2019.0,68900.0,Automatic,6007.0,Petrol,145.0,22.1,4.0,merc
 A Class,2019.0,19499.0,Semi-Auto,10440.0,Diesel,145.0,68.9,1.5,merc
 Mokka X,2017.0,11498.0,Manual,21949.0,Diesel,145.0,,1.6,vauxhall
 Fiesta,2017.0,7557.0,Manual,13143.0,Petrol,125.0,,1.2,ford
 Fabia,2015.0,6000.0,Manual,23262.0,Petrol,20.0,60.1,1.0,skoda
 Tiguan,2019.0,29850.0,Automatic,4500.0,Diesel,145.0,37.2,1.5,volkswagen
 Polo,2016.0,9490.0,Manual,35502.0,Petrol,20.0,60.1,,volkswagen
 Yaris,2015.0,,Automatic,43500.0,Hybrid,,86.0,1.5,toyota
 Golf,2019.0,21683.0,Manual,,Petrol,145.0,47.9,1.5,volkswagen
 Fiesta,2020.0,15000.0,Manual,25.0,Petrol,145.0,56.5,1.0,ford
 3 Series,2020.0,34000.0,Semi-Auto,,Diesel,,47.9,3.0,BMW
 Golf,2016.0,18700.0,Manual,20820.0,Petrol,200.0,39.8,2.0,volkswagen
 4 Series,2015.0,21149.0,Semi-Auto,29627.0,Diesel,160.0,49.6,3.0,BMW
 C Class,2020.0,36209.0,Semi-Auto,1000.0,Petrol,,42.8,2.0,merc
 Fiesta,2018.0,10790.0,Manual,26357.0,Petrol,145.0,65.7,1.0,ford
 Kuga,2019.0,18499.0,Automatic,8252.0,Petrol,145.0,31.0,1.5,ford
 C Class,2019.0,26949.0,Automatic,4971.0,Petrol,,42.2,,merc
 Kuga,2017.0,13499.0,Automatic,5607.0,Petrol,145.0,38.2,1.5,ford
 3 Series,,14700.0,Automatic,,Diesel,125.0,60.1,2.0,BMW
 Q5,2019.0,29980.0,Semi-Auto,12500.0,Diesel,145.0,,,Audi
 A3,2016.0,16755.0,Manual,21540.0,Petrol,30.0,57.6,1.4,Audi
 I10,2020.0,11670.0,Manual,101.0,Petrol,145.0,56.5,1.0,hyundi
 Fiesta,2017.0,9999.0,Manual,30060.0,Petrol,145.0,65.7,,ford
 A5,2017.0,20499.0,Manual,10987.0,Diesel,145.0,68.9,2.0,Audi
 Astra,2013.0,4979.0,Manual,67741.0,Petrol,160.0,44.8,1.6,vauxhall
 1 Series,2016.0,10070.0,Manual,47413.0,Diesel,0.0,,1.5,BMW
 GLA Class,2019.0,23149.0,Semi-Auto,9253.0,Diesel,145.0,67.3,2.1,merc
 Golf,2016.0,19190.0,Manual,21078.0,Petrol,200.0,39.8,,volkswagen
 5 Series,2015.0,,Automatic,60337.0,Diesel,,,2.0,BMW
 I10,2017.0,6000.0,Manual,43233.0,Petrol,145.0,57.7,,hyundi
 Corsa,2017.0,5990.0,Manual,31280.0,Petrol,,,1.4,vauxhall
 A4,2016.0,15998.0,Manual,34581.0,Diesel,,67.3,2.0,Audi
 Tiguan,2016.0,22490.0,Automatic,,Diesel,165.0,,2.0,volkswagen
 1 Series,2017.0,19990.0,Automatic,27108.0,Petrol,145.0,39.8,3.0,BMW
 Astra,2018.0,12700.0,Manual,22300.0,Petrol,,45.6,1.6,vauxhall
 4 Series,2017.0,22990.0,Semi-Auto,29607.0,Diesel,160.0,50.4,3.0,BMW
 Kuga,,,Semi-Auto,20839.0,Diesel,145.0,54.3,2.0,ford
 1 Series,2019.0,18995.0,Semi-Auto,5268.0,Diesel,,68.9,1.5,BMW
 Q3,2016.0,19495.0,Semi-Auto,25204.0,Diesel,145.0,51.4,2.0,Audi
 Fiesta,2018.0,12995.0,Manual,16053.0,Petrol,145.0,49.6,1.0,ford
 Fiesta,2017.0,10000.0,Manual,37200.0,Petrol,145.0,,1.0,ford
 A1,2014.0,9290.0,Manual,42869.0,Petrol,30.0,55.4,1.2,Audi
 1 Series,2013.0,10995.0,Semi-Auto,32514.0,Diesel,30.0,64.2,2.0,BMW
 3 Series,,19641.0,Semi-Auto,23503.0,Diesel,160.0,51.4,3.0,BMW
 Astra,2012.0,5999.0,Manual,58030.0,Petrol,165.0,44.1,1.6,vauxhall
 A6,2015.0,14599.0,Automatic,81707.0,Diesel,30.0,64.2,2.0,Audi
 Mokka X,2017.0,11450.0,Manual,6998.0,Petrol,145.0,47.1,1.4,vauxhall
 Fiesta,2018.0,9499.0,Manual,33876.0,Petrol,145.0,65.7,1.0,ford
 Tucson,2019.0,,Manual,4500.0,Hybrid,145.0,48.7,1.6,hyundi
 Mokka X,2019.0,14399.0,Manual,9406.0,Petrol,145.0,39.2,1.4,vauxhall
 C Class,2017.0,23999.0,Semi-Auto,21212.0,Diesel,,67.3,2.1,merc
 Fabia,2018.0,11800.0,Semi-Auto,5070.0,Petrol,145.0,61.4,1.0,skoda
 Astra,2019.0,12698.0,Manual,15316.0,Petrol,,51.4,1.4,vauxhall
 1 Series,2010.0,6275.0,Manual,60000.0,Diesel,125.0,,2.0,BMW
 GLA Class,2020.0,22999.0,Semi-Auto,99.0,Petrol,145.0,44.8,1.6,merc
 Fiesta,2017.0,9000.0,Manual,,Petrol,150.0,65.7,,ford
 3 Series,2020.0,34989.0,Semi-Auto,100.0,Diesel,145.0,,2.0,BMW
 I10,2013.0,4589.0,Manual,,Petrol,20.0,,1.2,hyundi
 C Class,2019.0,31980.0,Semi-Auto,5133.0,Petrol,145.0,46.3,,merc
 Golf,2017.0,15500.0,Manual,,Petrol,30.0,53.3,1.4,volkswagen
 Mokka X,2017.0,12221.0,Semi-Auto,31388.0,Petrol,,43.5,1.4,vauxhall
 5 Series,2019.0,31950.0,Automatic,,Petrol,,50.4,2.0,BMW
 Q2,2018.0,22990.0,Semi-Auto,31615.0,Petrol,145.0,51.4,1.4,Audi
 Fiesta,2019.0,11490.0,Manual,22500.0,Petrol,,65.7,1.0,ford
 Kuga,2019.0,18695.0,Manual,6308.0,Diesel,150.0,38.2,2.0,ford
 Tucson,,16995.0,Manual,1430.0,Petrol,150.0,34.9,1.6,hyundi
 A Class,2016.0,,Manual,35500.0,Diesel,20.0,68.9,1.5,merc
 4 Series,2019.0,25990.0,Semi-Auto,2028.0,Diesel,145.0,65.7,2.0,BMW
 Golf,2018.0,14995.0,Manual,28619.0,Diesel,150.0,57.7,1.6,volkswagen
 Mokka X,2019.0,16499.0,Manual,3.0,Petrol,145.0,39.2,1.4,vauxhall
 Focus,2017.0,10750.0,Semi-Auto,30596.0,Petrol,125.0,51.4,1.0,ford
 Focus,2017.0,10800.0,Manual,22988.0,Petrol,20.0,60.1,1.0,ford
 GLC Class,2018.0,30498.0,Semi-Auto,,Diesel,145.0,56.5,2.1,merc
 Corsa,2013.0,,Manual,36495.0,Petrol,125.0,51.4,1.4,vauxhall
 A Class,,14124.0,Manual,19573.0,Petrol,125.0,52.3,1.6,merc
 Focus,2015.0,7699.0,Manual,69205.0,Diesel,0.0,74.3,1.5,ford
 Corsa,2016.0,7500.0,Manual,16697.0,Petrol,30.0,,1.4,vauxhall
 A Class,2019.0,22899.0,Manual,,Petrol,145.0,47.1,1.3,merc
 Q5,2017.0,28890.0,Semi-Auto,20768.0,Diesel,145.0,55.4,,Audi
 C Class,2019.0,27889.0,Semi-Auto,10111.0,Diesel,145.0,61.4,2.0,merc
 A3,2016.0,10298.0,Manual,,Diesel,0.0,74.3,1.6,Audi
 C Class,2016.0,22790.0,Semi-Auto,9600.0,Petrol,,49.6,2.0,merc
 1 Series,,7999.0,Manual,67610.0,Diesel,0.0,74.3,1.6,BMW
 Focus,2019.0,15763.0,Automatic,11773.0,Diesel,145.0,74.3,1.5,ford
 Corsa,2016.0,6100.0,Manual,15000.0,Petrol,125.0,53.3,,vauxhall
 Fiesta,2018.0,9300.0,Manual,43331.0,Diesel,145.0,58.9,1.5,ford
 1 Series,2016.0,11788.0,Manual,17084.0,Diesel,0.0,78.5,1.5,BMW
 Golf,,22980.0,Manual,4280.0,Diesel,145.0,,1.6,volkswagen
 EcoSport,2017.0,,Semi-Auto,31788.0,Petrol,165.0,44.8,,ford
 Fiesta,2018.0,10995.0,Manual,36000.0,Petrol,,65.7,1.0,ford
 1 Series,2016.0,12741.0,Manual,23114.0,Diesel,20.0,68.9,2.0,BMW
 Q2,2018.0,22990.0,Manual,10500.0,Petrol,150.0,49.6,1.4,Audi
 Focus,2019.0,17249.0,Manual,7956.0,Diesel,,74.3,1.5,ford
 Golf,2019.0,25990.0,Manual,4019.0,Petrol,145.0,37.7,,volkswagen
 3 Series,2019.0,31450.0,Semi-Auto,4460.0,Petrol,145.0,40.9,2.0,BMW
 Focus,2019.0,17350.0,Manual,4539.0,Diesel,145.0,61.4,1.5,ford
 Corsa,2016.0,9750.0,Automatic,4562.0,Petrol,145.0,47.9,1.4,vauxhall
 GLA Class,2019.0,,Semi-Auto,15588.0,Diesel,145.0,67.3,2.1,merc
 Focus,2019.0,17799.0,Automatic,906.0,Petrol,150.0,50.4,1.0,ford
 Aygo,2019.0,9450.0,Manual,1762.0,Petrol,145.0,56.5,1.0,toyota
 Fabia,2017.0,11995.0,Semi-Auto,4385.0,Petrol,150.0,60.1,1.2,skoda
 1 Series,2015.0,16450.0,Semi-Auto,25499.0,Diesel,125.0,60.1,2.0,BMW
 Focus,2019.0,,Manual,,Diesel,145.0,74.3,1.5,ford
 A3,2017.0,,Manual,31191.0,Diesel,145.0,58.9,2.0,Audi
 A1,2017.0,12000.0,Manual,22241.0,Petrol,145.0,67.3,1.0,Audi
 Fiesta,2017.0,9495.0,Manual,,Petrol,,65.7,,ford
 Tiguan,2019.0,22000.0,Manual,7715.0,Diesel,,47.9,2.0,volkswagen
 E Class,2019.0,25399.0,Automatic,11290.0,Diesel,145.0,72.4,2.0,merc
 Golf,2016.0,10950.0,Manual,49835.0,Petrol,30.0,53.3,1.4,volkswagen
 Polo,2015.0,7495.0,Manual,30353.0,Petrol,20.0,60.1,1.0,volkswagen
 Polo,2011.0,5299.0,Manual,,Petrol,125.0,51.4,1.2,volkswagen
 Fiesta,2017.0,11995.0,Automatic,5720.0,Petrol,145.0,54.3,1.0,ford
 Astra,,16995.0,Manual,6.0,Diesel,,62.8,1.6,vauxhall
 Tiguan,2017.0,,Manual,17232.0,Diesel,145.0,50.4,2.0,volkswagen
 Tiguan,2016.0,21790.0,Automatic,,Diesel,160.0,49.6,,volkswagen
 Passat,2017.0,,Semi-Auto,35061.0,Diesel,30.0,60.1,2.0,volkswagen
 C Class,2017.0,23981.0,Semi-Auto,55381.0,Diesel,150.0,,2.1,merc
 E Class,2019.0,24000.0,Semi-Auto,13945.0,Diesel,145.0,72.4,2.0,merc
 A3,2016.0,11477.0,Manual,28000.0,Diesel,0.0,,1.6,Audi
 Aygo,2019.0,,Manual,1527.0,Petrol,145.0,57.7,1.0,toyota
 A3,2017.0,16450.0,Manual,21400.0,Petrol,145.0,60.1,1.0,Audi
 Fiesta,2018.0,9600.0,Manual,,Petrol,145.0,65.7,1.0,ford
 Fiesta,,10490.0,Manual,33906.0,Petrol,150.0,,1.0,ford
 A3,2015.0,12500.0,Automatic,49548.0,Petrol,,60.1,1.4,Audi
 E Class,,41995.0,Automatic,1800.0,Petrol,145.0,,2.0,merc
 Focus,,2500.0,Manual,98500.0,Petrol,,42.2,1.6,ford
 Focus,2018.0,18500.0,Manual,16970.0,Petrol,145.0,41.5,,ford
 GLC Class,2018.0,26995.0,Semi-Auto,20226.0,Diesel,145.0,56.5,,merc
 5 Series,2016.0,16695.0,Automatic,39727.0,Diesel,125.0,60.1,2.0,BMW
 Corsa,2019.0,10595.0,Manual,5320.0,Petrol,145.0,43.5,1.4,vauxhall
 Corsa,,,Manual,,Petrol,150.0,55.4,1.4,vauxhall
 A3,2016.0,20112.0,Semi-Auto,,Petrol,,56.5,1.4,Audi
 Polo,2015.0,9295.0,Manual,,Diesel,0.0,83.1,1.4,volkswagen
 Fabia,2019.0,13995.0,Manual,6110.0,Petrol,150.0,60.1,1.0,skoda
 E Class,2019.0,33899.0,Semi-Auto,5698.0,Diesel,,,2.0,merc
 Kuga,2015.0,10488.0,Manual,59498.0,Diesel,125.0,60.1,2.0,ford
 Golf,2017.0,18699.0,Manual,,Diesel,145.0,60.1,2.0,volkswagen
 Up,2015.0,,Manual,33055.0,Petrol,20.0,,1.0,volkswagen
 C Class,2017.0,,Automatic,22919.0,Petrol,145.0,47.1,2.0,merc
 C Class,,,Semi-Auto,3358.0,Diesel,145.0,57.7,2.0,merc
 Focus,2020.0,20990.0,Manual,,Petrol,145.0,49.6,1.0,ford
 Aygo,2017.0,7250.0,Manual,31065.0,Petrol,150.0,68.9,1.0,toyota
 Fabia,2019.0,12250.0,Manual,3138.0,Petrol,,,1.0,skoda
 A1,2016.0,12290.0,Manual,22990.0,Petrol,0.0,67.3,,Audi
 I10,2019.0,8270.0,Manual,8835.0,Petrol,145.0,60.1,1.0,hyundi
 Q2,,16995.0,Semi-Auto,28000.0,Petrol,30.0,,1.4,Audi
 Aygo,2016.0,6873.0,Manual,,Petrol,0.0,,1.0,toyota
 Astra,2019.0,15295.0,Manual,,Diesel,150.0,,1.6,vauxhall
 Corsa,2020.0,16498.0,Manual,10.0,Petrol,145.0,52.3,,vauxhall
 E Class,,22250.0,Automatic,16189.0,Diesel,,65.7,2.0,merc
 A4,,17175.0,Manual,37424.0,Diesel,,68.9,2.0,Audi
 Fabia,2016.0,,Automatic,8441.0,Petrol,,60.1,1.2,skoda
 A5,2014.0,13998.0,Semi-Auto,52132.0,Diesel,,49.6,3.0,Audi
 E Class,2019.0,37999.0,Semi-Auto,11588.0,Diesel,,48.7,3.0,merc
 Golf,,11750.0,Manual,79000.0,Diesel,,67.3,2.0,volkswagen
 Yaris,2017.0,10999.0,Automatic,,Petrol,145.0,60.1,1.5,toyota
 Polo,,14990.0,Semi-Auto,4879.0,Petrol,145.0,45.6,1.0,volkswagen
 Aygo,2017.0,,Manual,22313.0,Petrol,0.0,69.0,1.0,toyota
 A1,2012.0,8299.0,Manual,76975.0,Diesel,20.0,68.9,2.0,Audi
 Fiesta,,,Manual,28903.0,Petrol,150.0,65.7,,ford
 2 Series,2017.0,,Automatic,32389.0,Other,0.0,141.2,1.5,BMW
 Focus,2019.0,26200.0,Manual,10223.0,Diesel,145.0,50.4,2.0,ford
 Kuga,2017.0,15980.0,Semi-Auto,16414.0,Diesel,150.0,54.3,2.0,ford
 Yaris,2019.0,11490.0,Manual,8793.0,Petrol,150.0,47.9,,toyota
 Corsa,2017.0,8750.0,Manual,26078.0,Petrol,145.0,55.4,1.4,vauxhall
 GLC Class,2017.0,,Semi-Auto,,Diesel,145.0,56.5,,merc
 A1,2016.0,10988.0,Manual,40468.0,Petrol,30.0,55.4,1.4,Audi
 A6,,30750.0,Semi-Auto,6500.0,Petrol,145.0,34.9,2.0,Audi
 C Class,2018.0,25990.0,Automatic,12298.0,Petrol,145.0,45.6,,merc
 Aygo,2019.0,10382.0,Semi-Auto,6774.0,Petrol,,55.4,1.0,toyota
 A5,2016.0,16750.0,Automatic,48000.0,Diesel,160.0,52.3,2.0,Audi
 Fiesta,2015.0,7641.0,Manual,36182.0,Petrol,0.0,65.7,1.0,ford
 A Class,2019.0,19599.0,Semi-Auto,12067.0,Diesel,145.0,68.9,1.5,merc
 Golf,2017.0,18691.0,Semi-Auto,37642.0,Petrol,160.0,44.1,,volkswagen
 Fiesta,2019.0,16998.0,Manual,12236.0,Petrol,145.0,55.4,1.0,ford
 Q2,2019.0,23900.0,Manual,2728.0,Petrol,150.0,43.5,1.5,Audi
 Yaris,2019.0,12495.0,Manual,5931.0,Petrol,145.0,47.9,1.5,toyota
 Polo,2016.0,,Semi-Auto,18500.0,Petrol,20.0,61.4,1.4,volkswagen
 Yaris,2016.0,8590.0,Manual,13082.0,Petrol,,,1.3,toyota
 Golf,,12495.0,Semi-Auto,25000.0,Petrol,30.0,53.3,1.4,volkswagen
 Fabia,2017.0,12995.0,Semi-Auto,10465.0,Petrol,20.0,,1.2,skoda
 A4,2016.0,15600.0,Manual,,Diesel,20.0,70.6,2.0,Audi
 Aygo,2017.0,7695.0,Manual,21689.0,Petrol,145.0,68.9,1.0,toyota
 Golf,2017.0,12750.0,Manual,35785.0,Diesel,0.0,74.3,1.6,volkswagen
 Mokka X,2017.0,11700.0,Manual,9830.0,Petrol,145.0,47.1,1.4,vauxhall
 A6,2016.0,18990.0,Automatic,41000.0,Diesel,30.0,61.4,2.0,Audi
 5 Series,2016.0,14000.0,Automatic,39235.0,Diesel,30.0,62.8,,BMW
 Yaris,2015.0,7291.0,Manual,19450.0,Petrol,0.0,,1.0,toyota
 Yaris,2016.0,7975.0,Manual,,Petrol,30.0,55.0,1.3,toyota
 Focus,,7990.0,Manual,,Diesel,0.0,,1.5,ford
 1 Series,2015.0,9799.0,Manual,49096.0,Diesel,20.0,68.9,2.0,BMW
 Superb,,26296.0,Semi-Auto,7014.0,Diesel,145.0,44.1,2.0,skoda
 Polo,2016.0,10542.0,Manual,12000.0,Petrol,,60.1,1.2,volkswagen
 E Class,2019.0,26980.0,Semi-Auto,,Diesel,145.0,67.3,2.0,merc
 A1,2016.0,12300.0,Semi-Auto,44290.0,Diesel,0.0,76.3,1.6,Audi
 Corsa,2016.0,8298.0,Manual,10585.0,Petrol,30.0,55.4,1.4,vauxhall
 GLC Class,2020.0,39499.0,Semi-Auto,305.0,Petrol,145.0,32.1,2.0,merc
 Mokka,2016.0,,Manual,40000.0,Petrol,200.0,,1.6,vauxhall
 Tucson,2016.0,,Manual,42404.0,Diesel,30.0,61.7,1.7,hyundi
 Polo,2017.0,12995.0,Semi-Auto,,Petrol,20.0,60.1,1.2,volkswagen
 Focus,,8249.0,Manual,,Petrol,20.0,60.1,1.0,ford
 Corsa,,,Manual,37306.0,Petrol,265.0,37.2,1.6,vauxhall
 Aygo,2017.0,,Automatic,,Petrol,,67.0,1.0,toyota
 Corsa,2016.0,9450.0,Automatic,,Petrol,145.0,47.9,1.4,vauxhall
 Polo,,,Semi-Auto,4085.0,Petrol,145.0,46.3,1.0,volkswagen
 Tiguan,2017.0,20981.0,Semi-Auto,,Diesel,145.0,49.6,2.0,volkswagen
